Districts
Abu Al-Khaseeb
Afaq
Ain Al-Tamur
Al-Adhamiya
Al-Amadiya
Al-Amara
Al-Baaj
Al-Basrah
Al-Chibayish
Al-Daur
Al-Diwaniya
Al-Falluja
Al-Faw
Al-Hai
Al-Hamdaniya
Al-Hamza
Al-Hashimiya
Al-Hatra
Al-Hawiga
Al-Hilla
Al-Hindiya
Al-Kadhmiyah
Al-Kahla
Al-Kaim
Al-Karkh
Al-Khalis
Al-Khidhir
Al-Kufa
Al-Kut
Al-Mada'in
Al-Mahaweel
Al-Mahmoudiya
Al-Maimouna
Al-Manathera
Al-Mejar Al-Kabir
Al-Midaina
Al-Mosul
Al-Muqdadiya
Al-Mussyab
Al-Najaf
Al-Namaniya
Al-Nasiriya
Al-Qurna
Al-Ramadi
Al-Rifai
Al-Risafa
Al-Rumaitha
Al-Rutba
Al-Salman
Al-Samawa
Al-Shamiya
Al-Shatra
Al-Shikhan
Al-Shirqat
Al-Sulaymaniyah
Al-Suwaira
Al-Thawra
Al-Zibar
Al-Zubair
Ali Al-Gharbi
Ana
Aqra
Badra
Balad
Baladruz
Baquba
Beygee
Chamchamal
Daquq
Derbendikhan
Dibis
Dokan
Duhok
Erbil
Haditha
Halabcha
Heet
Kalar
Kerbela
Khanaqin
Kifri
Kirkuk
Koysinjaq
Makhmour
Panjwin
Pshdar
Qalat Saleh
Rania
Rawanduz
Samarra
Shaqlawa
Sharbazher
Shat Al-Arab
Sinjar
Sumail
Suq Al-Shoyokh
Telafar
Tikrit
Tilkaef
Tooz Khurmato
Zakho
