,Date,Origin,Dest,fled
7181,2015-09-10,Ninewa,Wassit,27
7171,2015-09-10,Ninewa,Kerbala,66
7173,2015-09-10,Ninewa,Missan,0
7174,2015-09-10,Ninewa,Muthanna,1
7175,2015-09-10,Ninewa,Najaf,8
7176,2015-09-10,Ninewa,Ninewa,581
7177,2015-09-10,Ninewa,Qadissiya,22
7178,2015-09-10,Ninewa,Salahal Din,0
7172,2015-09-10,Ninewa,Kirkuk,0
7127,2015-09-10,Diyala,Wassit,0
7056,2015-09-10,Anbar,Anbar,0
7125,2015-09-10,Diyala,Sulaymaniyah,0
7074,2015-09-10,Babylon,Anbar,0
7075,2015-09-10,Babylon,Babylon,26
7076,2015-09-10,Babylon,Baghdad,0
7077,2015-09-10,Babylon,Basrah,0
7078,2015-09-10,Babylon,Dahuk,0
7079,2015-09-10,Babylon,Diyala,0
7073,2015-09-10,Anbar,Wassit,0
7080,2015-09-10,Babylon,Erbil,0
7082,2015-09-10,Babylon,Kirkuk,0
7083,2015-09-10,Babylon,Missan,0
7084,2015-09-10,Babylon,Muthanna,0
7085,2015-09-10,Babylon,Najaf,0
7086,2015-09-10,Babylon,Ninewa,0
7087,2015-09-10,Babylon,Qadissiya,0
7081,2015-09-10,Babylon,Kerbala,0
7088,2015-09-10,Babylon,Salahal Din,0
7072,2015-09-10,Anbar,Thi Qar,0
7070,2015-09-10,Anbar,Salahal Din,0
7198,2015-09-10,Salahal Din,Thi Qar,0
7057,2015-09-10,Anbar,Babylon,746
7058,2015-09-10,Anbar,Baghdad,2090
7059,2015-09-10,Anbar,Basrah,22
7060,2015-09-10,Anbar,Dahuk,38
7061,2015-09-10,Anbar,Diyala,0
7071,2015-09-10,Anbar,Sulaymaniyah,74
7062,2015-09-10,Anbar,Erbil,154
7064,2015-09-10,Anbar,Kirkuk,184
7065,2015-09-10,Anbar,Missan,0
7066,2015-09-10,Anbar,Muthanna,9
7067,2015-09-10,Anbar,Najaf,4
7068,2015-09-10,Anbar,Ninewa,35
7069,2015-09-10,Anbar,Qadissiya,3
7063,2015-09-10,Anbar,Kerbala,15
7126,2015-09-10,Diyala,Thi Qar,0
7089,2015-09-10,Babylon,Sulaymaniyah,3
7091,2015-09-10,Babylon,Wassit,0
7111,2015-09-10,Diyala,Babylon,0
7112,2015-09-10,Diyala,Baghdad,15
7113,2015-09-10,Diyala,Basrah,2
7114,2015-09-10,Diyala,Dahuk,0
7115,2015-09-10,Diyala,Diyala,0
7116,2015-09-10,Diyala,Erbil,0
7110,2015-09-10,Diyala,Anbar,0
7117,2015-09-10,Diyala,Kerbala,0
7119,2015-09-10,Diyala,Missan,0
7120,2015-09-10,Diyala,Muthanna,0
7121,2015-09-10,Diyala,Najaf,0
7122,2015-09-10,Diyala,Ninewa,0
7123,2015-09-10,Diyala,Qadissiya,0
7124,2015-09-10,Diyala,Salahal Din,0
7118,2015-09-10,Diyala,Kirkuk,0
7090,2015-09-10,Babylon,Thi Qar,0
7109,2015-09-10,Baghdad,Wassit,0
7107,2015-09-10,Baghdad,Sulaymaniyah,0
7092,2015-09-10,Baghdad,Anbar,0
7093,2015-09-10,Baghdad,Babylon,0
7094,2015-09-10,Baghdad,Baghdad,0
7095,2015-09-10,Baghdad,Basrah,1
7096,2015-09-10,Baghdad,Dahuk,0
7097,2015-09-10,Baghdad,Diyala,0
7108,2015-09-10,Baghdad,Thi Qar,0
7098,2015-09-10,Baghdad,Erbil,0
7100,2015-09-10,Baghdad,Kirkuk,0
7101,2015-09-10,Baghdad,Missan,0
7102,2015-09-10,Baghdad,Muthanna,1
7103,2015-09-10,Baghdad,Najaf,0
7104,2015-09-10,Baghdad,Ninewa,0
7105,2015-09-10,Baghdad,Qadissiya,0
7106,2015-09-10,Baghdad,Salahal Din,0
7099,2015-09-10,Baghdad,Kerbala,0
7199,2015-09-10,Salahal Din,Wassit,0
7630,2015-09-29,Salahal Din,Thi Qar,0
7631,2015-09-29,Salahal Din,Wassit,0
7489,2015-09-29,Anbar,Babylon,56
7539,2015-09-29,Baghdad,Sulaymaniyah,0
7538,2015-09-29,Baghdad,Salahal Din,0
7537,2015-09-29,Baghdad,Qadissiya,0
7536,2015-09-29,Baghdad,Ninewa,0
7535,2015-09-29,Baghdad,Najaf,0
7534,2015-09-29,Baghdad,Muthanna,0
7540,2015-09-29,Baghdad,Thi Qar,0
7533,2015-09-29,Baghdad,Missan,0
7531,2015-09-29,Baghdad,Kerbala,1
7530,2015-09-29,Baghdad,Erbil,0
7529,2015-09-29,Baghdad,Diyala,0
7528,2015-09-29,Baghdad,Dahuk,0
7527,2015-09-29,Baghdad,Basrah,8
7526,2015-09-29,Baghdad,Baghdad,0
7532,2015-09-29,Baghdad,Kirkuk,0
7524,2015-09-29,Baghdad,Anbar,0
7541,2015-09-29,Baghdad,Wassit,0
7543,2015-09-29,Diyala,Babylon,0
7557,2015-09-29,Diyala,Sulaymaniyah,0
7556,2015-09-29,Diyala,Salahal Din,19
7555,2015-09-29,Diyala,Qadissiya,0
7554,2015-09-29,Diyala,Ninewa,0
7553,2015-09-29,Diyala,Najaf,0
7552,2015-09-29,Diyala,Muthanna,0
7542,2015-09-29,Diyala,Anbar,0
7551,2015-09-29,Diyala,Missan,0
7549,2015-09-29,Diyala,Kerbala,3
7548,2015-09-29,Diyala,Erbil,0
7547,2015-09-29,Diyala,Diyala,0
7546,2015-09-29,Diyala,Dahuk,0
7545,2015-09-29,Diyala,Basrah,0
7544,2015-09-29,Diyala,Baghdad,0
7550,2015-09-29,Diyala,Kirkuk,0
7558,2015-09-29,Diyala,Thi Qar,0
7523,2015-09-29,Babylon,Wassit,0
7521,2015-09-29,Babylon,Sulaymaniyah,0
7502,2015-09-29,Anbar,Salahal Din,0
7501,2015-09-29,Anbar,Qadissiya,9
7500,2015-09-29,Anbar,Ninewa,0
7499,2015-09-29,Anbar,Najaf,0
7498,2015-09-29,Anbar,Muthanna,2
7497,2015-09-29,Anbar,Missan,0
7503,2015-09-29,Anbar,Sulaymaniyah,23
7496,2015-09-29,Anbar,Kirkuk,0
7494,2015-09-29,Anbar,Erbil,1030
7493,2015-09-29,Anbar,Diyala,0
7492,2015-09-29,Anbar,Dahuk,27
7491,2015-09-29,Anbar,Basrah,6
7490,2015-09-29,Anbar,Baghdad,328
7488,2015-09-29,Anbar,Anbar,197
7495,2015-09-29,Anbar,Kerbala,0
7522,2015-09-29,Babylon,Thi Qar,0
7504,2015-09-29,Anbar,Thi Qar,24
7506,2015-09-29,Babylon,Anbar,0
7520,2015-09-29,Babylon,Salahal Din,0
7519,2015-09-29,Babylon,Qadissiya,0
7518,2015-09-29,Babylon,Ninewa,0
7517,2015-09-29,Babylon,Najaf,0
7516,2015-09-29,Babylon,Muthanna,0
7515,2015-09-29,Babylon,Missan,0
7505,2015-09-29,Anbar,Wassit,15
7514,2015-09-29,Babylon,Kirkuk,0
7512,2015-09-29,Babylon,Erbil,0
7511,2015-09-29,Babylon,Diyala,0
7510,2015-09-29,Babylon,Dahuk,0
7509,2015-09-29,Babylon,Basrah,0
7508,2015-09-29,Babylon,Baghdad,0
7507,2015-09-29,Babylon,Babylon,266
7513,2015-09-29,Babylon,Kerbala,8
7559,2015-09-29,Diyala,Wassit,0
7525,2015-09-29,Baghdad,Babylon,0
7561,2015-09-29,Erbil,Babylon,0
7611,2015-09-29,Ninewa,Sulaymaniyah,0
7610,2015-09-29,Ninewa,Salahal Din,0
7609,2015-09-29,Ninewa,Qadissiya,17
7608,2015-09-29,Ninewa,Ninewa,282
7607,2015-09-29,Ninewa,Najaf,13
7606,2015-09-29,Ninewa,Muthanna,0
7612,2015-09-29,Ninewa,Thi Qar,2
7605,2015-09-29,Ninewa,Missan,0
7603,2015-09-29,Ninewa,Kerbala,118
7602,2015-09-29,Ninewa,Erbil,0
7601,2015-09-29,Ninewa,Diyala,0
7600,2015-09-29,Ninewa,Dahuk,2105
7599,2015-09-29,Ninewa,Basrah,3
7598,2015-09-29,Ninewa,Baghdad,295
7604,2015-09-29,Ninewa,Kirkuk,0
7597,2015-09-29,Ninewa,Babylon,3
7613,2015-09-29,Ninewa,Wassit,0
7615,2015-09-29,Salahal Din,Babylon,0
7560,2015-09-29,Erbil,Anbar,0
7628,2015-09-29,Salahal Din,Salahal Din,535
7627,2015-09-29,Salahal Din,Qadissiya,0
7626,2015-09-29,Salahal Din,Ninewa,0
7625,2015-09-29,Salahal Din,Najaf,0
7624,2015-09-29,Salahal Din,Muthanna,2
7614,2015-09-29,Salahal Din,Anbar,0
7623,2015-09-29,Salahal Din,Missan,0
7621,2015-09-29,Salahal Din,Kerbala,0
7620,2015-09-29,Salahal Din,Erbil,105
7619,2015-09-29,Salahal Din,Diyala,0
7618,2015-09-29,Salahal Din,Dahuk,12
7617,2015-09-29,Salahal Din,Basrah,3
7616,2015-09-29,Salahal Din,Baghdad,0
7622,2015-09-29,Salahal Din,Kirkuk,0
7596,2015-09-29,Ninewa,Anbar,0
7629,2015-09-29,Salahal Din,Sulaymaniyah,0
7594,2015-09-29,Kirkuk,Thi Qar,2
7575,2015-09-29,Erbil,Sulaymaniyah,0
7574,2015-09-29,Erbil,Salahal Din,0
7573,2015-09-29,Erbil,Qadissiya,0
7572,2015-09-29,Erbil,Ninewa,0
7571,2015-09-29,Erbil,Najaf,0
7570,2015-09-29,Erbil,Muthanna,0
7576,2015-09-29,Erbil,Thi Qar,0
7569,2015-09-29,Erbil,Missan,0
7567,2015-09-29,Erbil,Kerbala,0
7566,2015-09-29,Erbil,Erbil,0
7565,2015-09-29,Erbil,Diyala,0
7564,2015-09-29,Erbil,Dahuk,0
7563,2015-09-29,Erbil,Basrah,0
7595,2015-09-29,Kirkuk,Wassit,0
7568,2015-09-29,Erbil,Kirkuk,0
7577,2015-09-29,Erbil,Wassit,0
7562,2015-09-29,Erbil,Baghdad,0
7579,2015-09-29,Kirkuk,Babylon,0
7593,2015-09-29,Kirkuk,Sulaymaniyah,0
7592,2015-09-29,Kirkuk,Salahal Din,0
7591,2015-09-29,Kirkuk,Qadissiya,5
7590,2015-09-29,Kirkuk,Ninewa,0
7578,2015-09-29,Kirkuk,Anbar,0
7588,2015-09-29,Kirkuk,Muthanna,0
7587,2015-09-29,Kirkuk,Missan,0
7589,2015-09-29,Kirkuk,Najaf,0
7585,2015-09-29,Kirkuk,Kerbala,0
7584,2015-09-29,Kirkuk,Erbil,0
7583,2015-09-29,Kirkuk,Diyala,0
7582,2015-09-29,Kirkuk,Dahuk,0
7581,2015-09-29,Kirkuk,Basrah,0
7580,2015-09-29,Kirkuk,Baghdad,0
7586,2015-09-29,Kirkuk,Kirkuk,140
813,2015-10-22,Kirkuk,Basrah,3
814,2015-10-22,Kirkuk,Dahuk,0
815,2015-10-22,Kirkuk,Diyala,0
816,2015-10-22,Kirkuk,Erbil,0
817,2015-10-22,Kirkuk,Kerbala,0
818,2015-10-22,Kirkuk,Kirkuk,445
826,2015-10-22,Kirkuk,Thi Qar,0
820,2015-10-22,Kirkuk,Muthanna,21
821,2015-10-22,Kirkuk,Najaf,3
822,2015-10-22,Kirkuk,Ninewa,79
823,2015-10-22,Kirkuk,Qadissiya,0
824,2015-10-22,Kirkuk,Salahal Din,32
825,2015-10-22,Kirkuk,Sulaymaniyah,0
795,2015-10-22,Erbil,Basrah,0
819,2015-10-22,Kirkuk,Missan,0
812,2015-10-22,Kirkuk,Baghdad,12
804,2015-10-22,Erbil,Ninewa,0
810,2015-10-22,Kirkuk,Anbar,0
827,2015-10-22,Kirkuk,Wassit,18
796,2015-10-22,Erbil,Dahuk,0
797,2015-10-22,Erbil,Diyala,0
798,2015-10-22,Erbil,Erbil,0
799,2015-10-22,Erbil,Kerbala,0
800,2015-10-22,Erbil,Kirkuk,0
811,2015-10-22,Kirkuk,Babylon,2
801,2015-10-22,Erbil,Missan,0
803,2015-10-22,Erbil,Najaf,0
805,2015-10-22,Erbil,Qadissiya,0
806,2015-10-22,Erbil,Salahal Din,0
807,2015-10-22,Erbil,Sulaymaniyah,0
808,2015-10-22,Erbil,Thi Qar,0
809,2015-10-22,Erbil,Wassit,0
802,2015-10-22,Erbil,Muthanna,0
828,2015-10-22,Ninewa,Anbar,0
845,2015-10-22,Ninewa,Wassit,0
830,2015-10-22,Ninewa,Baghdad,389
850,2015-10-22,Salahal Din,Dahuk,0
851,2015-10-22,Salahal Din,Diyala,0
852,2015-10-22,Salahal Din,Erbil,0
853,2015-10-22,Salahal Din,Kerbala,3
854,2015-10-22,Salahal Din,Kirkuk,18
855,2015-10-22,Salahal Din,Missan,2
849,2015-10-22,Salahal Din,Basrah,1
856,2015-10-22,Salahal Din,Muthanna,14
858,2015-10-22,Salahal Din,Ninewa,84
859,2015-10-22,Salahal Din,Qadissiya,1
860,2015-10-22,Salahal Din,Salahal Din,0
861,2015-10-22,Salahal Din,Sulaymaniyah,1030
862,2015-10-22,Salahal Din,Thi Qar,5
794,2015-10-22,Erbil,Baghdad,0
857,2015-10-22,Salahal Din,Najaf,6
829,2015-10-22,Ninewa,Babylon,34
848,2015-10-22,Salahal Din,Baghdad,260
846,2015-10-22,Salahal Din,Anbar,0
831,2015-10-22,Ninewa,Basrah,1
832,2015-10-22,Ninewa,Dahuk,464
833,2015-10-22,Ninewa,Diyala,0
834,2015-10-22,Ninewa,Erbil,3918
835,2015-10-22,Ninewa,Kerbala,1
836,2015-10-22,Ninewa,Kirkuk,40
847,2015-10-22,Salahal Din,Babylon,3
837,2015-10-22,Ninewa,Missan,0
839,2015-10-22,Ninewa,Najaf,217
840,2015-10-22,Ninewa,Ninewa,62
841,2015-10-22,Ninewa,Qadissiya,8
842,2015-10-22,Ninewa,Salahal Din,6
843,2015-10-22,Ninewa,Sulaymaniyah,9
844,2015-10-22,Ninewa,Thi Qar,28
838,2015-10-22,Ninewa,Muthanna,94
793,2015-10-22,Erbil,Babylon,0
791,2015-10-22,Diyala,Wassit,11
790,2015-10-22,Diyala,Thi Qar,2
740,2015-10-22,Babylon,Baghdad,0
741,2015-10-22,Babylon,Basrah,1
742,2015-10-22,Babylon,Dahuk,0
743,2015-10-22,Babylon,Diyala,0
744,2015-10-22,Babylon,Erbil,0
745,2015-10-22,Babylon,Kerbala,0
739,2015-10-22,Babylon,Babylon,63
746,2015-10-22,Babylon,Kirkuk,0
748,2015-10-22,Babylon,Muthanna,0
749,2015-10-22,Babylon,Najaf,0
750,2015-10-22,Babylon,Ninewa,0
751,2015-10-22,Babylon,Qadissiya,0
752,2015-10-22,Babylon,Salahal Din,0
753,2015-10-22,Babylon,Sulaymaniyah,8
747,2015-10-22,Babylon,Missan,1
754,2015-10-22,Babylon,Thi Qar,0
738,2015-10-22,Babylon,Anbar,0
736,2015-10-22,Anbar,Thi Qar,22
722,2015-10-22,Anbar,Baghdad,2248
723,2015-10-22,Anbar,Basrah,8
724,2015-10-22,Anbar,Dahuk,0
725,2015-10-22,Anbar,Diyala,0
726,2015-10-22,Anbar,Erbil,1949
727,2015-10-22,Anbar,Kerbala,5
737,2015-10-22,Anbar,Wassit,45
728,2015-10-22,Anbar,Kirkuk,60
730,2015-10-22,Anbar,Muthanna,66
731,2015-10-22,Anbar,Najaf,21
732,2015-10-22,Anbar,Ninewa,28
733,2015-10-22,Anbar,Qadissiya,31
734,2015-10-22,Anbar,Salahal Din,0
735,2015-10-22,Anbar,Sulaymaniyah,227
729,2015-10-22,Anbar,Missan,17
792,2015-10-22,Erbil,Anbar,0
755,2015-10-22,Babylon,Wassit,0
757,2015-10-22,Baghdad,Babylon,4
776,2015-10-22,Diyala,Baghdad,5
777,2015-10-22,Diyala,Basrah,0
778,2015-10-22,Diyala,Dahuk,0
779,2015-10-22,Diyala,Diyala,7
780,2015-10-22,Diyala,Erbil,91
781,2015-10-22,Diyala,Kerbala,2
775,2015-10-22,Diyala,Babylon,2
782,2015-10-22,Diyala,Kirkuk,0
784,2015-10-22,Diyala,Muthanna,16
785,2015-10-22,Diyala,Najaf,0
786,2015-10-22,Diyala,Ninewa,0
787,2015-10-22,Diyala,Qadissiya,0
788,2015-10-22,Diyala,Salahal Din,0
789,2015-10-22,Diyala,Sulaymaniyah,7
783,2015-10-22,Diyala,Missan,1
756,2015-10-22,Baghdad,Anbar,0
774,2015-10-22,Diyala,Anbar,0
772,2015-10-22,Baghdad,Thi Qar,0
758,2015-10-22,Baghdad,Baghdad,11
759,2015-10-22,Baghdad,Basrah,0
760,2015-10-22,Baghdad,Dahuk,0
761,2015-10-22,Baghdad,Diyala,0
762,2015-10-22,Baghdad,Erbil,0
763,2015-10-22,Baghdad,Kerbala,0
773,2015-10-22,Baghdad,Wassit,4
764,2015-10-22,Baghdad,Kirkuk,0
766,2015-10-22,Baghdad,Muthanna,13
767,2015-10-22,Baghdad,Najaf,8
768,2015-10-22,Baghdad,Ninewa,0
769,2015-10-22,Baghdad,Qadissiya,0
770,2015-10-22,Baghdad,Salahal Din,0
771,2015-10-22,Baghdad,Sulaymaniyah,2
765,2015-10-22,Baghdad,Missan,0
863,2015-10-22,Salahal Din,Wassit,30
720,2015-10-22,Anbar,Anbar,500
721,2015-10-22,Anbar,Babylon,34
1297,2015-11-05,Anbar,Babylon,9
1390,2015-11-05,Kirkuk,Dahuk,0
1391,2015-11-05,Kirkuk,Diyala,0
1392,2015-11-05,Kirkuk,Erbil,0
1393,2015-11-05,Kirkuk,Kerbala,0
1394,2015-11-05,Kirkuk,Kirkuk,73
1395,2015-11-05,Kirkuk,Missan,0
1396,2015-11-05,Kirkuk,Muthanna,8
1397,2015-11-05,Kirkuk,Najaf,0
1398,2015-11-05,Kirkuk,Ninewa,34
1399,2015-11-05,Kirkuk,Qadissiya,1
1400,2015-11-05,Kirkuk,Salahal Din,350
1401,2015-11-05,Kirkuk,Sulaymaniyah,0
1402,2015-11-05,Kirkuk,Thi Qar,0
1389,2015-11-05,Kirkuk,Basrah,2
1388,2015-11-05,Kirkuk,Baghdad,28
1387,2015-11-05,Kirkuk,Babylon,1
1386,2015-11-05,Kirkuk,Anbar,0
1372,2015-11-05,Erbil,Dahuk,0
1373,2015-11-05,Erbil,Diyala,0
1374,2015-11-05,Erbil,Erbil,0
1375,2015-11-05,Erbil,Kerbala,0
1376,2015-11-05,Erbil,Kirkuk,0
1377,2015-11-05,Erbil,Missan,0
1403,2015-11-05,Kirkuk,Wassit,0
1378,2015-11-05,Erbil,Muthanna,0
1380,2015-11-05,Erbil,Ninewa,0
1381,2015-11-05,Erbil,Qadissiya,0
1382,2015-11-05,Erbil,Salahal Din,0
1383,2015-11-05,Erbil,Sulaymaniyah,0
1384,2015-11-05,Erbil,Thi Qar,0
1385,2015-11-05,Erbil,Wassit,0
1379,2015-11-05,Erbil,Najaf,0
1404,2015-11-05,Ninewa,Anbar,0
1405,2015-11-05,Ninewa,Babylon,2
1406,2015-11-05,Ninewa,Baghdad,84
1426,2015-11-05,Salahal Din,Dahuk,0
1427,2015-11-05,Salahal Din,Diyala,14
1428,2015-11-05,Salahal Din,Erbil,2028
1429,2015-11-05,Salahal Din,Kerbala,3
1430,2015-11-05,Salahal Din,Kirkuk,25
1431,2015-11-05,Salahal Din,Missan,0
1425,2015-11-05,Salahal Din,Basrah,8
1432,2015-11-05,Salahal Din,Muthanna,21
1434,2015-11-05,Salahal Din,Ninewa,81
1435,2015-11-05,Salahal Din,Qadissiya,1
1436,2015-11-05,Salahal Din,Salahal Din,327
1437,2015-11-05,Salahal Din,Sulaymaniyah,0
1438,2015-11-05,Salahal Din,Thi Qar,6
1439,2015-11-05,Salahal Din,Wassit,5
1433,2015-11-05,Salahal Din,Najaf,0
1424,2015-11-05,Salahal Din,Baghdad,386
1423,2015-11-05,Salahal Din,Babylon,25
1422,2015-11-05,Salahal Din,Anbar,0
1407,2015-11-05,Ninewa,Basrah,0
1408,2015-11-05,Ninewa,Dahuk,15
1409,2015-11-05,Ninewa,Diyala,0
1410,2015-11-05,Ninewa,Erbil,3173
1411,2015-11-05,Ninewa,Kerbala,0
1412,2015-11-05,Ninewa,Kirkuk,1366
1413,2015-11-05,Ninewa,Missan,0
1414,2015-11-05,Ninewa,Muthanna,130
1415,2015-11-05,Ninewa,Najaf,0
1416,2015-11-05,Ninewa,Ninewa,1015
1417,2015-11-05,Ninewa,Qadissiya,11
1418,2015-11-05,Ninewa,Salahal Din,16
1419,2015-11-05,Ninewa,Sulaymaniyah,19
1420,2015-11-05,Ninewa,Thi Qar,0
1421,2015-11-05,Ninewa,Wassit,0
1371,2015-11-05,Erbil,Basrah,0
1370,2015-11-05,Erbil,Baghdad,0
1369,2015-11-05,Erbil,Babylon,0
1368,2015-11-05,Erbil,Anbar,0
1316,2015-11-05,Babylon,Baghdad,4
1317,2015-11-05,Babylon,Basrah,0
1318,2015-11-05,Babylon,Dahuk,0
1319,2015-11-05,Babylon,Diyala,0
1320,2015-11-05,Babylon,Erbil,0
1321,2015-11-05,Babylon,Kerbala,0
1315,2015-11-05,Babylon,Babylon,7
1322,2015-11-05,Babylon,Kirkuk,0
1324,2015-11-05,Babylon,Muthanna,0
1325,2015-11-05,Babylon,Najaf,0
1326,2015-11-05,Babylon,Ninewa,0
1327,2015-11-05,Babylon,Qadissiya,0
1328,2015-11-05,Babylon,Salahal Din,0
1329,2015-11-05,Babylon,Sulaymaniyah,4
1323,2015-11-05,Babylon,Missan,0
1330,2015-11-05,Babylon,Thi Qar,2
1314,2015-11-05,Babylon,Anbar,0
1312,2015-11-05,Anbar,Thi Qar,2
1298,2015-11-05,Anbar,Baghdad,1086
1299,2015-11-05,Anbar,Basrah,10
1300,2015-11-05,Anbar,Dahuk,0
1301,2015-11-05,Anbar,Diyala,104
1302,2015-11-05,Anbar,Erbil,5984
1303,2015-11-05,Anbar,Kerbala,9
1313,2015-11-05,Anbar,Wassit,8
1304,2015-11-05,Anbar,Kirkuk,0
1306,2015-11-05,Anbar,Muthanna,99
1307,2015-11-05,Anbar,Najaf,3
1308,2015-11-05,Anbar,Ninewa,0
1309,2015-11-05,Anbar,Qadissiya,25
1310,2015-11-05,Anbar,Salahal Din,319
1311,2015-11-05,Anbar,Sulaymaniyah,1036
1305,2015-11-05,Anbar,Missan,4
1296,2015-11-05,Anbar,Anbar,0
1331,2015-11-05,Babylon,Wassit,0
1333,2015-11-05,Baghdad,Babylon,2
1352,2015-11-05,Diyala,Baghdad,419
1353,2015-11-05,Diyala,Basrah,0
1354,2015-11-05,Diyala,Dahuk,0
1355,2015-11-05,Diyala,Diyala,0
1356,2015-11-05,Diyala,Erbil,0
1357,2015-11-05,Diyala,Kerbala,7
1351,2015-11-05,Diyala,Babylon,0
1358,2015-11-05,Diyala,Kirkuk,0
1360,2015-11-05,Diyala,Muthanna,17
1361,2015-11-05,Diyala,Najaf,1
1362,2015-11-05,Diyala,Ninewa,0
1363,2015-11-05,Diyala,Qadissiya,2
1364,2015-11-05,Diyala,Salahal Din,63
1365,2015-11-05,Diyala,Sulaymaniyah,28
1359,2015-11-05,Diyala,Missan,1
1332,2015-11-05,Baghdad,Anbar,0
1350,2015-11-05,Diyala,Anbar,0
1348,2015-11-05,Baghdad,Thi Qar,2
1334,2015-11-05,Baghdad,Baghdad,222
1335,2015-11-05,Baghdad,Basrah,0
1336,2015-11-05,Baghdad,Dahuk,0
1337,2015-11-05,Baghdad,Diyala,0
1338,2015-11-05,Baghdad,Erbil,2
1339,2015-11-05,Baghdad,Kerbala,0
1349,2015-11-05,Baghdad,Wassit,4
1340,2015-11-05,Baghdad,Kirkuk,0
1342,2015-11-05,Baghdad,Muthanna,1
1343,2015-11-05,Baghdad,Najaf,0
1344,2015-11-05,Baghdad,Ninewa,0
1345,2015-11-05,Baghdad,Qadissiya,16
1346,2015-11-05,Baghdad,Salahal Din,0
1347,2015-11-05,Baghdad,Sulaymaniyah,64
1341,2015-11-05,Baghdad,Missan,0
1367,2015-11-05,Diyala,Wassit,0
1366,2015-11-05,Diyala,Thi Qar,0
1150,2015-11-19,Salahal Din,Thi Qar,0
1059,2015-11-19,Baghdad,Sulaymaniyah,35
1058,2015-11-19,Baghdad,Salahal Din,0
1057,2015-11-19,Baghdad,Qadissiya,0
1056,2015-11-19,Baghdad,Ninewa,0
1055,2015-11-19,Baghdad,Najaf,0
1054,2015-11-19,Baghdad,Muthanna,4
1060,2015-11-19,Baghdad,Thi Qar,0
1053,2015-11-19,Baghdad,Missan,1
1051,2015-11-19,Baghdad,Kerbala,0
1050,2015-11-19,Baghdad,Erbil,0
1049,2015-11-19,Baghdad,Diyala,0
1048,2015-11-19,Baghdad,Dahuk,0
1047,2015-11-19,Baghdad,Basrah,1
1046,2015-11-19,Baghdad,Baghdad,314
1052,2015-11-19,Baghdad,Kirkuk,0
1045,2015-11-19,Baghdad,Babylon,2
1061,2015-11-19,Baghdad,Wassit,5
1063,2015-11-19,Diyala,Babylon,2
1078,2015-11-19,Diyala,Thi Qar,0
1076,2015-11-19,Diyala,Salahal Din,15
1075,2015-11-19,Diyala,Qadissiya,0
1074,2015-11-19,Diyala,Ninewa,0
1073,2015-11-19,Diyala,Najaf,0
1072,2015-11-19,Diyala,Muthanna,2
1062,2015-11-19,Diyala,Anbar,0
1071,2015-11-19,Diyala,Missan,0
1069,2015-11-19,Diyala,Kerbala,0
1068,2015-11-19,Diyala,Erbil,0
1067,2015-11-19,Diyala,Diyala,0
1066,2015-11-19,Diyala,Dahuk,0
1065,2015-11-19,Diyala,Basrah,6
1064,2015-11-19,Diyala,Baghdad,14
1070,2015-11-19,Diyala,Kirkuk,20
1079,2015-11-19,Diyala,Wassit,3
1044,2015-11-19,Baghdad,Anbar,0
1042,2015-11-19,Babylon,Thi Qar,0
1023,2015-11-19,Anbar,Sulaymaniyah,429
1022,2015-11-19,Anbar,Salahal Din,0
1021,2015-11-19,Anbar,Qadissiya,22
1020,2015-11-19,Anbar,Ninewa,0
1019,2015-11-19,Anbar,Najaf,1
1018,2015-11-19,Anbar,Muthanna,10
1024,2015-11-19,Anbar,Thi Qar,0
1017,2015-11-19,Anbar,Missan,0
1015,2015-11-19,Anbar,Kerbala,7
1014,2015-11-19,Anbar,Erbil,225
1013,2015-11-19,Anbar,Diyala,0
1012,2015-11-19,Anbar,Dahuk,0
1011,2015-11-19,Anbar,Basrah,22
1010,2015-11-19,Anbar,Baghdad,1203
1016,2015-11-19,Anbar,Kirkuk,103
1043,2015-11-19,Babylon,Wassit,0
1025,2015-11-19,Anbar,Wassit,22
1027,2015-11-19,Babylon,Babylon,0
1041,2015-11-19,Babylon,Sulaymaniyah,5
1040,2015-11-19,Babylon,Salahal Din,0
1039,2015-11-19,Babylon,Qadissiya,0
1038,2015-11-19,Babylon,Ninewa,0
1037,2015-11-19,Babylon,Najaf,0
1036,2015-11-19,Babylon,Muthanna,0
1026,2015-11-19,Babylon,Anbar,0
1035,2015-11-19,Babylon,Missan,0
1033,2015-11-19,Babylon,Kerbala,0
1032,2015-11-19,Babylon,Erbil,0
1031,2015-11-19,Babylon,Diyala,0
1030,2015-11-19,Babylon,Dahuk,0
1029,2015-11-19,Babylon,Basrah,4
1028,2015-11-19,Babylon,Baghdad,0
1034,2015-11-19,Babylon,Kirkuk,0
1009,2015-11-19,Anbar,Babylon,0
1080,2015-11-19,Erbil,Anbar,0
1082,2015-11-19,Erbil,Baghdad,0
1132,2015-11-19,Ninewa,Thi Qar,20
1131,2015-11-19,Ninewa,Sulaymaniyah,72
1130,2015-11-19,Ninewa,Salahal Din,0
1129,2015-11-19,Ninewa,Qadissiya,7
1128,2015-11-19,Ninewa,Ninewa,1703
1127,2015-11-19,Ninewa,Najaf,4
1133,2015-11-19,Ninewa,Wassit,81
1126,2015-11-19,Ninewa,Muthanna,35
1124,2015-11-19,Ninewa,Kirkuk,0
1123,2015-11-19,Ninewa,Kerbala,416
