Date,death,gov
2017-01-03,2,Baghdad
2017-01-04,2,Baghdad
2017-01-05,25,Baghdad
2017-01-06,10,Baghdad
2017-01-07,2,Baghdad
2017-01-08,29,Baghdad
2017-01-09,3,Baghdad
2017-01-10,3,Baghdad
2017-01-11,7,Baghdad
2017-01-12,1,Baghdad
2017-01-13,2,Baghdad
2017-01-14,8,Baghdad
2017-01-15,2,Baghdad
2017-01-16,4,Baghdad
2017-01-17,10,Baghdad
2017-01-18,2,Baghdad
2017-01-19,2,Baghdad
2017-01-20,2,Baghdad
2017-01-21,2,Baghdad
2017-01-22,4,Baghdad
2017-01-23,5,Baghdad
2017-01-24,5,Baghdad
2017-01-25,12,Baghdad
2017-01-26,3,Baghdad
2017-01-27,5,Baghdad
2017-01-28,2,Baghdad
2017-01-29,6,Baghdad
2017-01-30,2,Baghdad
2017-01-31,1,Baghdad
2017-02-01,5,Baghdad
2017-02-02,3,Baghdad
2017-02-03,2,Baghdad
2017-02-04,1,Baghdad
2017-02-05,5,Baghdad
2017-02-06,2,Baghdad
2017-02-07,2,Baghdad
2017-02-08,2,Baghdad
2017-02-09,3,Baghdad
2017-02-10,10,Baghdad
2017-02-11,8,Baghdad
2017-02-12,3,Baghdad
2017-02-13,2,Baghdad
2017-02-14,4,Baghdad
2017-02-15,17,Baghdad
2017-02-16,63,Baghdad
2017-02-18,3,Baghdad
2017-02-19,3,Baghdad
2017-02-20,5,Baghdad
2017-02-21,4,Baghdad
2017-02-22,6,Baghdad
2017-02-23,8,Baghdad
2017-02-24,1,Baghdad
2017-02-25,2,Baghdad
2017-02-26,4,Baghdad
2017-02-27,4,Baghdad
2017-02-28,3,Baghdad
2017-03-01,2,Baghdad
2017-03-02,2,Baghdad
2017-03-03,2,Baghdad
2017-03-04,8,Baghdad
2017-03-05,5,Baghdad
2017-03-06,3,Baghdad
2017-03-07,1,Baghdad
2017-03-08,4,Baghdad
2017-03-09,3,Baghdad
2017-03-10,3,Baghdad
2017-03-11,1,Baghdad
2017-03-12,3,Baghdad
2017-03-13,2,Baghdad
2017-03-14,2,Baghdad
2017-03-15,2,Baghdad
2017-03-16,4,Baghdad
2017-03-17,7,Baghdad
2017-03-18,4,Baghdad
2017-03-19,1,Baghdad
2017-03-20,26,Baghdad
2017-03-21,1,Baghdad
2017-03-22,2,Baghdad
2017-03-23,1,Baghdad
2017-03-24,3,Baghdad
2017-03-25,1,Baghdad
2017-03-26,4,Baghdad
2017-03-28,5,Baghdad
2017-03-30,17,Baghdad
2017-04-01,1,Baghdad
2017-04-02,4,Baghdad
2017-04-03,1,Baghdad
2017-04-04,3,Baghdad
2017-04-05,7,Baghdad
2017-04-06,2,Baghdad
2017-04-07,2,Baghdad
2017-04-08,3,Baghdad
2017-04-09,2,Baghdad
2017-04-10,1,Baghdad
2017-04-12,2,Baghdad
2017-04-13,2,Baghdad
2017-04-14,3,Baghdad
2017-04-15,1,Baghdad
2017-04-16,2,Baghdad
2017-04-17,2,Baghdad
2017-04-18,1,Baghdad
2017-04-19,1,Baghdad
2017-04-20,2,Baghdad
2017-04-22,1,Baghdad
2017-04-25,2,Baghdad
2017-04-27,2,Baghdad
2017-04-28,7,Baghdad
2017-04-29,1,Baghdad
2017-04-30,1,Baghdad
2017-05-03,1,Baghdad
2017-05-05,3,Baghdad
2017-05-06,2,Baghdad
2017-05-07,1,Baghdad
2017-05-09,2,Baghdad
2017-05-10,2,Baghdad
2017-05-11,4,Baghdad
2017-05-12,2,Baghdad
2017-05-13,2,Baghdad
2017-05-14,2,Baghdad
2017-05-15,4,Baghdad
2017-05-16,2,Baghdad
2017-05-17,1,Baghdad
2017-05-18,10,Baghdad
2017-05-19,15,Baghdad
2017-05-20,1,Baghdad
2017-05-23,1,Baghdad
2017-05-24,2,Baghdad
2017-05-25,1,Baghdad
2017-05-26,1,Baghdad
2017-05-27,4,Baghdad
2017-05-28,1,Baghdad
2017-05-29,32,Baghdad
2017-05-30,7,Baghdad
2017-06-02,1,Baghdad
2017-06-04,1,Baghdad
2017-06-05,2,Baghdad
2017-06-08,1,Baghdad
2017-06-09,3,Baghdad
2017-06-11,1,Baghdad
2017-06-13,1,Baghdad
2017-06-15,1,Baghdad
2017-06-16,67,Baghdad
2017-06-17,1,Baghdad
2017-06-18,1,Baghdad
2017-06-22,6,Baghdad
2017-06-23,2,Baghdad
2017-06-27,1,Baghdad
2017-06-28,1,Baghdad
2017-07-01,1,Baghdad
2017-07-02,1,Baghdad
2017-07-03,2,Baghdad
2017-07-05,1,Baghdad
2017-07-06,7,Baghdad
2017-07-09,2,Baghdad
2017-07-10,6,Baghdad
2017-07-12,1,Baghdad
2017-07-13,2,Baghdad
2017-07-14,20,Baghdad
2017-07-15,2,Baghdad
2017-07-16,4,Baghdad
2017-07-17,10,Baghdad
2017-07-19,2,Baghdad
2017-07-20,2,Baghdad
2017-07-21,1,Baghdad
2017-07-22,2,Baghdad
2017-07-24,4,Baghdad
2017-07-25,1,Baghdad
2017-07-26,7,Baghdad
2017-07-28,6,Baghdad
2017-07-29,9,Baghdad
2017-07-30,2,Baghdad
2017-07-31,1,Baghdad
2017-08-01,6,Baghdad
2017-08-03,3,Baghdad
2017-08-05,1,Baghdad
2017-08-06,1,Baghdad
2017-08-07,2,Baghdad
2017-08-08,1,Baghdad
2017-08-09,1,Baghdad
2017-08-10,2,Baghdad
2017-08-12,1,Baghdad
2017-08-14,2,Baghdad
2017-08-15,1,Baghdad
2017-08-16,2,Baghdad
2017-08-19,3,Baghdad
2017-08-20,3,Baghdad
2017-08-21,2,Baghdad
2017-08-22,4,Baghdad
2017-08-23,2,Baghdad
2017-08-24,1,Baghdad
2017-08-25,1,Baghdad
2017-08-26,2,Baghdad
2017-08-27,6,Baghdad
