Date,death,dist,ADM3CODE,ADM3NAME
2006-07-19,1,Al-Daur,iq18011,Al-Daur
2006-07-24,1,Al-Daur,iq18011,Al-Daur
2006-07-29,2,Al-Daur,iq18011,Al-Daur
2006-07-31,1,Al-Daur,iq18011,Al-Daur
2006-08-02,1,Al-Daur,iq18011,Al-Daur
2006-08-07,10,Al-Daur,iq18011,Al-Daur
2006-08-08,1,Al-Daur,iq18011,Al-Daur
2006-08-13,1,Al-Daur,iq18011,Al-Daur
2006-08-15,5,Al-Daur,iq18011,Al-Daur
2006-08-16,2,Al-Daur,iq18011,Al-Daur
2006-08-25,1,Al-Daur,iq18011,Al-Daur
2006-08-26,1,Al-Daur,iq18011,Al-Daur
2006-08-27,1,Al-Daur,iq18011,Al-Daur
2006-08-30,2,Al-Daur,iq18011,Al-Daur
2006-09-03,1,Al-Daur,iq18011,Al-Daur
2006-09-05,3,Al-Daur,iq18011,Al-Daur
2006-09-06,1,Al-Daur,iq18011,Al-Daur
2006-09-07,1,Al-Daur,iq18011,Al-Daur
2006-09-12,5,Al-Daur,iq18011,Al-Daur
2006-09-17,2,Al-Daur,iq18011,Al-Daur
2006-09-20,10,Al-Daur,iq18011,Al-Daur
2006-09-22,2,Al-Daur,iq18011,Al-Daur
2006-09-25,5,Al-Daur,iq18011,Al-Daur
2006-09-26,1,Al-Daur,iq18011,Al-Daur
2006-10-07,2,Al-Daur,iq18011,Al-Daur
2006-10-11,1,Al-Daur,iq18011,Al-Daur
2006-10-12,1,Al-Daur,iq18011,Al-Daur
2006-10-14,1,Al-Daur,iq18011,Al-Daur
2006-10-17,4,Al-Daur,iq18011,Al-Daur
2006-10-26,1,Al-Daur,iq18011,Al-Daur
2006-11-06,1,Al-Daur,iq18011,Al-Daur
2006-11-11,5,Al-Daur,iq18011,Al-Daur
2006-11-12,2,Al-Daur,iq18011,Al-Daur
2006-11-15,2,Al-Daur,iq18011,Al-Daur
2006-11-25,4,Al-Daur,iq18011,Al-Daur
2006-11-26,1,Al-Daur,iq18011,Al-Daur
2006-11-27,2,Al-Daur,iq18011,Al-Daur
2006-11-29,2,Al-Daur,iq18011,Al-Daur
2006-12-02,4,Al-Daur,iq18011,Al-Daur
2006-12-04,1,Al-Daur,iq18011,Al-Daur
2006-12-07,1,Al-Daur,iq18011,Al-Daur
2006-12-14,1,Al-Daur,iq18011,Al-Daur
2006-12-18,1,Al-Daur,iq18011,Al-Daur
2006-12-22,4,Al-Daur,iq18011,Al-Daur
2006-12-23,1,Al-Daur,iq18011,Al-Daur
2006-12-25,1,Al-Daur,iq18011,Al-Daur
2006-12-26,1,Al-Daur,iq18011,Al-Daur
2006-12-27,2,Al-Daur,iq18011,Al-Daur
2007-01-02,1,Al-Daur,iq18011,Al-Daur
2007-01-03,1,Al-Daur,iq18011,Al-Daur
2007-01-06,1,Al-Daur,iq18011,Al-Daur
2007-01-07,1,Al-Daur,iq18011,Al-Daur
2007-01-10,1,Al-Daur,iq18011,Al-Daur
2007-01-11,3,Al-Daur,iq18011,Al-Daur
2007-01-12,1,Al-Daur,iq18011,Al-Daur
2007-01-13,2,Al-Daur,iq18011,Al-Daur
2007-01-14,3,Al-Daur,iq18011,Al-Daur
2007-01-15,2,Al-Daur,iq18011,Al-Daur
2007-01-18,3,Al-Daur,iq18011,Al-Daur
2007-02-07,3,Al-Daur,iq18011,Al-Daur
2007-02-13,1,Al-Daur,iq18011,Al-Daur
2007-02-14,1,Al-Daur,iq18011,Al-Daur
2007-02-15,3,Al-Daur,iq18011,Al-Daur
2007-02-16,1,Al-Daur,iq18011,Al-Daur
2007-02-22,3,Al-Daur,iq18011,Al-Daur
2007-02-28,1,Al-Daur,iq18011,Al-Daur
2007-03-05,1,Al-Daur,iq18011,Al-Daur
2007-03-13,1,Al-Daur,iq18011,Al-Daur
2007-03-17,2,Al-Daur,iq18011,Al-Daur
2007-03-19,1,Al-Daur,iq18011,Al-Daur
2007-03-23,1,Al-Daur,iq18011,Al-Daur
2007-03-24,1,Al-Daur,iq18011,Al-Daur
2007-04-02,7,Al-Daur,iq18011,Al-Daur
2007-04-07,1,Al-Daur,iq18011,Al-Daur
2007-04-10,1,Al-Daur,iq18011,Al-Daur
2007-04-20,2,Al-Daur,iq18011,Al-Daur
2007-04-28,1,Al-Daur,iq18011,Al-Daur
2007-05-04,1,Al-Daur,iq18011,Al-Daur
2007-05-05,2,Al-Daur,iq18011,Al-Daur
2007-05-06,12,Al-Daur,iq18011,Al-Daur
2007-05-11,2,Al-Daur,iq18011,Al-Daur
2007-05-18,7,Al-Daur,iq18011,Al-Daur
2007-05-23,6,Al-Daur,iq18011,Al-Daur
2007-05-26,1,Al-Daur,iq18011,Al-Daur
2007-05-27,2,Al-Daur,iq18011,Al-Daur
2007-06-01,4,Al-Daur,iq18011,Al-Daur
2007-06-07,5,Al-Daur,iq18011,Al-Daur
2007-06-08,3,Al-Daur,iq18011,Al-Daur
2007-06-09,3,Al-Daur,iq18011,Al-Daur
2007-06-11,2,Al-Daur,iq18011,Al-Daur
2007-06-15,2,Al-Daur,iq18011,Al-Daur
2007-06-16,1,Al-Daur,iq18011,Al-Daur
2007-06-17,1,Al-Daur,iq18011,Al-Daur
2007-06-18,1,Al-Daur,iq18011,Al-Daur
2007-06-19,1,Al-Daur,iq18011,Al-Daur
2007-06-23,5,Al-Daur,iq18011,Al-Daur
2007-06-26,1,Al-Daur,iq18011,Al-Daur
2007-06-27,5,Al-Daur,iq18011,Al-Daur
2007-07-02,2,Al-Daur,iq18011,Al-Daur
2007-07-10,5,Al-Daur,iq18011,Al-Daur
