gov,Date,temp,precip,death,ArGov_sentPos,ArGov_sentNeg,Gov_eventsAll,ArGov_insVioMin_buzz,death_lag,temp_lag,precip_lag,events_lag,sentPos_lag_ar,sentNeg_lag_ar,insVioMin_buzz_lag,death_diff,sentPos_diff_ar,sentNeg_diff_ar,events_diff,insVioMin_buzz_diff,stat_prov_id
Diyala,2017-09-30,95.43333333333335,0.0,94,2916,533,1,66.0,19.0,99.27395833333333,0.0,6.0,2553.0,405.0,65.0,75.0,363.0,128.0,-5.0,1.0,3
Erbil,2017-09-30,86.6188888888889,0.0,0,7720,2590,201,66.0,0.0,90.446875,0.0,48.0,2582.0,678.0,20.0,0.0,5138.0,1912.0,153.0,46.0,4
Kirkuk,2017-09-30,90.71666666666668,0.0,38,3092,1264,55,91.0,10.0,95.43125,0.0,46.0,2447.0,1140.0,46.0,28.0,645.0,124.0,9.0,45.0,5
Ninewa,2017-09-30,88.46250000000002,0.0,193,10804,3408,44,5219.0,22.0,92.18359375000001,0.0,105.0,13182.0,3393.0,5491.0,171.0,-2378.0,15.0,-61.0,-272.0,6
Salahal Din,2017-09-30,93.44095238095238,0.0,42,0,0,9,204.0,18.0,97.28928571428571,0.0,17.0,0.0,0.0,28.0,24.0,0.0,0.0,-8.0,176.0,7
Anbar,2017-10-15,82.90095238095238,0.0,60,427,162,13,19.0,23.0,93.43904761904763,0.0,54.0,2909.0,1164.0,1060.0,37.0,-2482.0,-1002.0,-41.0,-1041.0,0
Babylon,2017-10-15,81.06666666666668,0.0,60,90,26,0,4.0,135.0,89.98166666666665,0.0,0.0,891.0,274.0,15.0,-75.0,-801.0,-248.0,0.0,-11.0,1
Baghdad,2017-10-15,81.09851851851853,0.0,86,519,202,197,305.0,70.0,92.10222222222224,0.0,279.0,8256.0,1923.0,2169.0,16.0,-7737.0,-1721.0,-82.0,-1864.0,2
Diyala,2017-10-15,84.05,0.0,2,361,60,8,14.0,94.0,95.43333333333335,0.0,1.0,2916.0,533.0,66.0,-92.0,-2555.0,-473.0,7.0,-52.0,3
Erbil,2017-10-15,71.9877777777778,0.0,0,479,229,110,9.0,0.0,86.6188888888889,0.0,201.0,7720.0,2590.0,66.0,0.0,-7241.0,-2361.0,-91.0,-57.0,4
Kirkuk,2017-10-15,79.45,0.0,3,136,59,145,39.0,38.0,90.71666666666668,0.0,55.0,3092.0,1264.0,91.0,-35.0,-2956.0,-1205.0,90.0,-52.0,5
Ninewa,2017-10-15,74.95916666666668,0.0,98,1402,313,17,667.0,193.0,88.46250000000002,0.0,44.0,10804.0,3408.0,5219.0,-95.0,-9402.0,-3095.0,-27.0,-4552.0,6
Salahal Din,2017-10-15,81.8295238095238,0.0,1,33,21,4,4.0,42.0,93.44095238095238,0.0,9.0,0.0,0.0,204.0,-41.0,33.0,21.0,-5.0,-200.0,7
Anbar,2017-10-31,78.33839285714285,8.928571428571429e-05,1,60,11,15,10.0,60.0,82.90095238095238,0.0,13.0,427.0,162.0,19.0,-59.0,-367.0,-151.0,2.0,-9.0,0
Babylon,2017-10-31,74.978125,0.0,3,22,3,0,0.0,60.0,81.06666666666668,0.0,0.0,90.0,26.0,4.0,-57.0,-68.0,-23.0,0.0,-4.0,1
Baghdad,2017-10-31,77.0361111111111,0.00013888888888888892,54,511,24,430,8.0,86.0,81.09851851851853,0.0,197.0,519.0,202.0,305.0,-32.0,-8.0,-178.0,233.0,-297.0,2
Diyala,2017-10-31,79.27083333333333,0.0010416666666666667,84,276,26,10,4.0,2.0,84.05,0.0,8.0,361.0,60.0,14.0,82.0,-85.0,-34.0,2.0,-10.0,3
Erbil,2017-10-31,70.10000000000001,0.0,0,176,38,175,6.0,0.0,71.9877777777778,0.0,110.0,479.0,229.0,9.0,0.0,-303.0,-191.0,65.0,-3.0,4
Kirkuk,2017-10-31,75.075,0.00375,83,110,61,373,4.0,3.0,79.45,0.0,145.0,136.0,59.0,39.0,80.0,-26.0,2.0,228.0,-35.0,5
Ninewa,2017-10-31,72.01484375000001,0.0,95,342,97,51,77.0,98.0,74.95916666666668,0.0,17.0,1402.0,313.0,667.0,-3.0,-1060.0,-216.0,34.0,-590.0,6
Salahal Din,2017-10-31,77.54374999999999,0.0014285714285714286,1,140,188,6,5.0,1.0,81.8295238095238,0.0,4.0,33.0,21.0,4.0,0.0,107.0,167.0,2.0,1.0,7
Anbar,2017-11-15,72.03904761904761,0.00038095238095238096,15,12667,1362,87,177.0,1.0,78.33839285714285,8.928571428571429e-05,15.0,60.0,11.0,10.0,14.0,12607.0,1351.0,72.0,167.0,0
Babylon,2017-11-15,70.58833333333334,0.0003333333333333333,2,6657,2043,0,140.0,3.0,74.978125,0.0,0.0,22.0,3.0,0.0,-1.0,6635.0,2040.0,0.0,140.0,1
Baghdad,2017-11-15,71.08592592592592,0.0,25,19412,13334,102,467.0,54.0,77.0361111111111,0.00013888888888888892,430.0,511.0,24.0,8.0,-29.0,18901.0,13310.0,-328.0,459.0,2
Diyala,2017-11-15,73.61333333333332,0.0006666666666666666,5,31495,6001,0,735.0,84.0,79.27083333333333,0.0010416666666666667,10.0,276.0,26.0,4.0,-79.0,31219.0,5975.0,-10.0,731.0,3
Erbil,2017-11-15,61.823333333333345,0.04200000000000001,1,17434,3246,48,156.0,0.0,70.10000000000001,0.0,175.0,176.0,38.0,6.0,1.0,17258.0,3208.0,-127.0,150.0,4
Kirkuk,2017-11-15,70.06833333333333,0.0105,14,7403,2020,24,93.0,83.0,75.075,0.00375,373.0,110.0,61.0,4.0,-69.0,7293.0,1959.0,-349.0,89.0,5
Ninewa,2017-11-15,64.31333333333333,0.0335,107,16731,6351,13,518.0,95.0,72.01484375000001,0.0,51.0,342.0,97.0,77.0,12.0,16389.0,6254.0,-38.0,441.0,6
Salahal Din,2017-11-15,71.68761904761904,0.0005714285714285715,0,12755,2810,25,61.0,1.0,77.54374999999999,0.0014285714285714286,6.0,140.0,188.0,5.0,-1.0,12615.0,2622.0,19.0,56.0,7
Anbar,2017-11-29,62.525510204081634,0.0012244897959183675,6,13205,3610,22,1079.0,15.0,72.03904761904761,0.00038095238095238096,87.0,12667.0,1362.0,177.0,-9.0,538.0,2248.0,-65.0,902.0,0
Babylon,2017-11-29,61.078571428571436,0.0075,4,18464,2145,0,681.0,2.0,70.58833333333334,0.0003333333333333333,0.0,6657.0,2043.0,140.0,2.0,11807.0,102.0,0.0,541.0,1
Baghdad,2017-11-29,61.55238095238095,0.002857142857142857,44,31929,5984,104,1120.0,25.0,71.08592592592592,0.0,102.0,19412.0,13334.0,467.0,19.0,12517.0,-7350.0,2.0,653.0,2
Diyala,2017-11-29,62.88571428571428,0.004285714285714286,4,49428,9194,1,460.0,5.0,73.61333333333332,0.0006666666666666666,0.0,31495.0,6001.0,735.0,-1.0,17933.0,3193.0,1.0,-275.0,3
Erbil,2017-11-29,52.930952380952384,0.07666666666666666,3,26934,5782,63,104.0,1.0,61.823333333333345,0.04200000000000001,48.0,17434.0,3246.0,156.0,2.0,9500.0,2536.0,15.0,-52.0,4
Kirkuk,2017-11-29,57.767857142857146,0.04732142857142858,0,6750,1559,12,188.0,14.0,70.06833333333333,0.0105,24.0,7403.0,2020.0,93.0,-14.0,-653.0,-461.0,-12.0,95.0,5
Ninewa,2017-11-29,55.7,0.021428571428571432,35,28689,7165,7,1108.0,107.0,64.31333333333333,0.0335,13.0,16731.0,6351.0,518.0,-72.0,11958.0,814.0,-6.0,590.0,6
Salahal Din,2017-11-29,60.51836734693878,0.0067346938775510205,69,16036,3593,11,523.0,0.0,71.68761904761904,0.0005714285714285715,25.0,12755.0,2810.0,61.0,69.0,3281.0,783.0,-14.0,462.0,7
Anbar,2017-12-15,53.98839285714285,0.00026785714285714287,32,10694,2984,13,601.0,6.0,62.525510204081634,0.0012244897959183675,22.0,13205.0,3610.0,1079.0,26.0,-2511.0,-626.0,-9.0,-478.0,0
Babylon,2017-12-15,54.6640625,0.0,4,21294,13260,0,494.0,4.0,61.078571428571436,0.0075,0.0,18464.0,2145.0,681.0,0.0,2830.0,11115.0,0.0,-187.0,1
Baghdad,2017-12-15,54.59791666666667,0.0,22,40710,9414,168,982.0,44.0,61.55238095238095,0.002857142857142857,104.0,31929.0,5984.0,1120.0,-22.0,8781.0,3430.0,64.0,-138.0,2
Diyala,2017-12-15,56.46145833333333,0.0013541666666666667,7,46725,9439,0,1039.0,4.0,62.88571428571428,0.004285714285714286,1.0,49428.0,9194.0,460.0,3.0,-2703.0,245.0,-1.0,579.0,3
Erbil,2017-12-15,50.00729166666667,0.07375,3,43736,12997,34,3462.0,3.0,52.930952380952384,0.07666666666666666,63.0,26934.0,5782.0,104.0,0.0,16802.0,7215.0,-29.0,3358.0,4
Kirkuk,2017-12-15,54.2046875,0.031718750000000004,18,6637,2180,14,113.0,0.0,57.767857142857146,0.04732142857142858,12.0,6750.0,1559.0,188.0,18.0,-113.0,621.0,2.0,-75.0,5
Ninewa,2017-12-15,51.48671875,0.04765625,40,30395,9742,12,1023.0,35.0,55.7,0.021428571428571432,7.0,28689.0,7165.0,1108.0,5.0,1706.0,2577.0,5.0,-85.0,6
Salahal Din,2017-12-15,54.793749999999996,0.008392857142857143,21,35796,20881,17,450.0,69.0,60.51836734693878,0.0067346938775510205,11.0,16036.0,3593.0,523.0,-48.0,19760.0,17288.0,6.0,-73.0,7
Anbar,2017-12-31,56.708035714285714,0.005178571428571429,0,18051,2331,29,404.0,32.0,53.98839285714285,0.00026785714285714287,13.0,10694.0,2984.0,601.0,-32.0,7357.0,-653.0,16.0,-197.0,0
Babylon,2017-12-31,57.81249999999999,0.0009375,6,17260,5279,0,265.0,4.0,54.6640625,0.0,0.0,21294.0,13260.0,494.0,2.0,-4034.0,-7981.0,0.0,-229.0,1
Baghdad,2017-12-31,58.85277777777778,0.0,25,41154,10094,50,9101.0,22.0,54.59791666666667,0.0,168.0,40710.0,9414.0,982.0,3.0,444.0,680.0,-118.0,8119.0,2
Diyala,2017-12-31,61.21041666666665,0.0046875,7,74646,19063,7,4043.0,7.0,56.46145833333333,0.0013541666666666667,0.0,46725.0,9439.0,1039.0,0.0,27921.0,9624.0,7.0,3004.0,3
Erbil,2017-12-31,55.156250000000014,0.0025,0,29681,6654,57,494.0,3.0,50.00729166666667,0.07375,34.0,43736.0,12997.0,3462.0,-3.0,-14055.0,-6343.0,23.0,-2968.0,4
Kirkuk,2017-12-31,59.58125000000001,0.00375,16,12152,4283,30,77.0,18.0,54.2046875,0.031718750000000004,14.0,6637.0,2180.0,113.0,-2.0,5515.0,2103.0,16.0,-36.0,5
Ninewa,2017-12-31,57.12890625000001,0.0034375,18,54575,18045,17,2156.0,40.0,51.48671875,0.04765625,12.0,30395.0,9742.0,1023.0,-22.0,24180.0,8303.0,5.0,1133.0,6
Salahal Din,2017-12-31,60.18839285714285,0.0025,13,20339,4798,15,473.0,21.0,54.793749999999996,0.008392857142857143,17.0,35796.0,20881.0,450.0,-8.0,-15457.0,-16083.0,-2.0,23.0,7
