fromGov,toGov,Date,numofFam,year,month,day,numofFamDiff
Kirkuk,Baghdad,2018-01-31,180,2018,1,31,0
Kirkuk,Kirkuk,2018-01-31,17611,2018,1,31,0
Kirkuk,Kerbala,2018-01-31,46,2018,1,31,0
Ninewa,Babylon,2018-01-31,2279,2018,1,31,0
Ninewa,Anbar,2018-01-31,87,2018,1,31,0
Kirkuk,Wassit,2018-01-31,151,2018,1,31,0
Kirkuk,Thi-Qar,2018-01-31,102,2018,1,31,0
Kirkuk,Sulaymaniyah,2018-01-31,3046,2018,1,31,0
Ninewa,Baghdad,2018-01-31,5936,2018,1,31,0
Kirkuk,Qadissiya,2018-01-31,324,2018,1,31,0
Kirkuk,Ninewa,2018-01-31,2300,2018,1,31,0
Kirkuk,Najaf,2018-01-31,31,2018,1,31,0
Kirkuk,Muthanna,2018-01-31,19,2018,1,31,0
Kirkuk,Missan,2018-01-31,98,2018,1,31,0
Kirkuk,Salah al-Din,2018-01-31,5947,2018,1,31,0
Kirkuk,Salah al-Din,2018-02-15,5947,2018,2,15,0
Kirkuk,Sulaymaniyah,2018-02-15,3027,2018,2,15,-19
Kirkuk,Thi-Qar,2018-02-15,102,2018,2,15,0
Kirkuk,Wassit,2018-02-15,151,2018,2,15,0
Ninewa,Baghdad,2018-02-15,5618,2018,2,15,-318
Ninewa,Babylon,2018-02-15,2223,2018,2,15,-56
Ninewa,Basrah,2018-02-15,512,2018,2,15,-20
Ninewa,Dahuk,2018-02-15,59219,2018,2,15,-966
Ninewa,Diyala,2018-02-15,103,2018,2,15,-4
Ninewa,Anbar,2018-02-15,87,2018,2,15,0
Kirkuk,Qadissiya,2018-02-15,288,2018,2,15,-36
Erbil,Ninewa,2018-02-15,96,2018,2,15,-20
Kirkuk,Najaf,2018-02-15,31,2018,2,15,0
Kirkuk,Muthanna,2018-02-15,19,2018,2,15,0
Kirkuk,Missan,2018-02-15,97,2018,2,15,-1
Kirkuk,Kirkuk,2018-02-15,16464,2018,2,15,-1147
Kirkuk,Kerbala,2018-02-15,46,2018,2,15,0
Kirkuk,Erbil,2018-02-15,5652,2018,2,15,-200
Kirkuk,Diyala,2018-02-15,108,2018,2,15,-10
Kirkuk,Dahuk,2018-02-15,7,2018,2,15,1
Kirkuk,Basrah,2018-02-15,135,2018,2,15,0
Kirkuk,Baghdad,2018-02-15,168,2018,2,15,-12
Kirkuk,Babylon,2018-02-15,1,2018,2,15,0
Kirkuk,Anbar,2018-02-15,40,2018,2,15,0
Ninewa,Erbil,2018-02-15,14661,2018,2,15,51
Kirkuk,Ninewa,2018-02-15,2303,2018,2,15,3
Ninewa,Kerbala,2018-02-15,6930,2018,2,15,-894
Salah al-Din,Basrah,2018-02-15,423,2018,2,15,-8
Ninewa,Missan,2018-02-15,317,2018,2,15,-10
Erbil,Erbil,2018-02-15,1269,2018,2,15,0
Salah al-Din,Wassit,2018-02-15,264,2018,2,15,-43
Salah al-Din,Thi-Qar,2018-02-15,55,2018,2,15,0
Salah al-Din,Sulaymaniyah,2018-02-15,9342,2018,2,15,288
Salah al-Din,Salah al-Din,2018-02-15,29769,2018,2,15,-1443
Salah al-Din,Qadissiya,2018-02-15,27,2018,2,15,-3
Salah al-Din,Ninewa,2018-02-15,766,2018,2,15,0
Salah al-Din,Najaf,2018-02-15,19,2018,2,15,-2
Salah al-Din,Muthanna,2018-02-15,39,2018,2,15,-1
Salah al-Din,Missan,2018-02-15,65,2018,2,15,0
Salah al-Din,Kirkuk,2018-02-15,4787,2018,2,15,-32
Salah al-Din,Kerbala,2018-02-15,31,2018,2,15,-7
Salah al-Din,Erbil,2018-02-15,4019,2018,2,15,-40
Salah al-Din,Diyala,2018-02-15,3458,2018,2,15,-2
Salah al-Din,Dahuk,2018-02-15,63,2018,2,15,-1
Salah al-Din,Baghdad,2018-02-15,1845,2018,2,15,-133
Salah al-Din,Babylon,2018-02-15,68,2018,2,15,0
Salah al-Din,Anbar,2018-02-15,45,2018,2,15,0
Ninewa,Wassit,2018-02-15,1523,2018,2,15,-136
Ninewa,Thi-Qar,2018-02-15,604,2018,2,15,-4
Ninewa,Sulaymaniyah,2018-02-15,2497,2018,2,15,15
Ninewa,Salah al-Din,2018-02-15,924,2018,2,15,-78
Ninewa,Qadissiya,2018-02-15,1994,2018,2,15,-86
Ninewa,Ninewa,2018-02-15,122522,2018,2,15,-444
Ninewa,Najaf,2018-02-15,7041,2018,2,15,-617
Ninewa,Kirkuk,2018-02-15,3596,2018,2,15,-201
Erbil,Baghdad,2018-02-15,17,2018,2,15,0
Ninewa,Muthanna,2018-02-15,241,2018,2,15,-28
Diyala,Thi-Qar,2018-02-15,11,2018,2,15,0
Babylon,Qadissiya,2018-02-15,14,2018,2,15,0
Babylon,Ninewa,2018-02-15,5,2018,2,15,0
Babylon,Missan,2018-02-15,7,2018,2,15,0
Babylon,Kirkuk,2018-02-15,20,2018,2,15,6
Babylon,Kerbala,2018-02-15,171,2018,2,15,-2
Babylon,Diyala,2018-02-15,77,2018,2,15,1
Babylon,Basrah,2018-02-15,22,2018,2,15,0
Babylon,Baghdad,2018-02-15,1013,2018,2,15,0
Babylon,Babylon,2018-02-15,2440,2018,2,15,5
Babylon,Anbar,2018-02-15,511,2018,2,15,0
Anbar,Wassit,2018-02-15,243,2018,2,15,0
Anbar,Thi-Qar,2018-02-15,157,2018,2,15,0
Anbar,Sulaymaniyah,2018-02-15,8398,2018,2,15,-589
Anbar,Salah al-Din,2018-02-15,163,2018,2,15,-52
Anbar,Qadissiya,2018-02-15,222,2018,2,15,-61
Anbar,Ninewa,2018-02-15,43,2018,2,15,-268
Anbar,Najaf,2018-02-15,214,2018,2,15,-23
Anbar,Muthanna,2018-02-15,77,2018,2,15,-3
Anbar,Missan,2018-02-15,29,2018,2,15,-1
Anbar,Kirkuk,2018-02-15,1487,2018,2,15,-332
Anbar,Kerbala,2018-02-15,117,2018,2,15,-4
Anbar,Erbil,2018-02-15,13745,2018,2,15,-250
Anbar,Diyala,2018-02-15,271,2018,2,15,-57
Anbar,Dahuk,2018-02-15,110,2018,2,15,-28
Anbar,Basrah,2018-02-15,287,2018,2,15,-3
Anbar,Baghdad,2018-02-15,16407,2018,2,15,-575
Anbar,Babylon,2018-02-15,290,2018,2,15,-8
Anbar,Anbar,2018-02-15,14622,2018,2,15,-34
Diyala,Wassit,2018-02-15,159,2018,2,15,0
Babylon,Sulaymaniyah,2018-02-15,1275,2018,2,15,332
Babylon,Thi-Qar,2018-02-15,7,2018,2,15,0
Erbil,Kirkuk,2018-02-15,1,2018,2,15,0
Baghdad,Anbar,2018-02-15,24,2018,2,15,0
Babylon,Wassit,2018-02-15,20,2018,2,15,0
Diyala,Salah al-Din,2018-02-15,289,2018,2,15,0
Diyala,Qadissiya,2018-02-15,22,2018,2,15,0
Diyala,Najaf,2018-02-15,19,2018,2,15,0
Diyala,Muthanna,2018-02-15,8,2018,2,15,0
Diyala,Missan,2018-02-15,16,2018,2,15,0
Diyala,Kirkuk,2018-02-15,669,2018,2,15,251
Diyala,Kerbala,2018-02-15,25,2018,2,15,0
Diyala,Erbil,2018-02-15,231,2018,2,15,-3
Diyala,Diyala,2018-02-15,9425,2018,2,15,-81
Diyala,Basrah,2018-02-15,42,2018,2,15,-2
Diyala,Baghdad,2018-02-15,503,2018,2,15,-8
Diyala,Babylon,2018-02-15,28,2018,2,15,0
Baghdad,Wassit,2018-02-15,62,2018,2,15,0
Diyala,Sulaymaniyah,2018-02-15,3560,2018,2,15,163
Baghdad,Sulaymaniyah,2018-02-15,3082,2018,2,15,27
Baghdad,Thi-Qar,2018-02-15,7,2018,2,15,0
Baghdad,Babylon,2018-02-15,86,2018,2,15,0
Baghdad,Baghdad,2018-02-15,124,2018,2,15,-44
Baghdad,Basrah,2018-02-15,31,2018,2,15,0
Baghdad,Dahuk,2018-02-15,44,2018,2,15,-3
Baghdad,Erbil,2018-02-15,574,2018,2,15,-2
Baghdad,Diyala,2018-02-15,61,2018,2,15,0
Baghdad,Kirkuk,2018-02-15,153,2018,2,15,28
Baghdad,Missan,2018-02-15,27,2018,2,15,0
Baghdad,Muthanna,2018-02-15,29,2018,2,15,0
Baghdad,Najaf,2018-02-15,12,2018,2,15,0
Baghdad,Qadissiya,2018-02-15,65,2018,2,15,0
Baghdad,Kerbala,2018-02-15,25,2018,2,15,-3
Baghdad,Kerbala,2018-02-28,25,2018,2,28,0
Baghdad,Missan,2018-02-28,27,2018,2,28,0
Baghdad,Kirkuk,2018-02-28,157,2018,2,28,4
Baghdad,Erbil,2018-02-28,574,2018,2,28,0
